dnaA	NC_000962.3	+	1	1525
dnaN	NC_000962.3	+	2052	3261
recF	NC_000962.3	+	3280	4438
gene_4	NC_000962.3	+	4434	4998
gyrB	NC_000962.3	+	5240	7268
gyrA	NC_000962.3	+	7302	9819
gene_7	NC_000962.3	+	9914	10829
ileT	NC_000962.3	+	10887	10961
alaT	NC_000962.3	+	11112	11185
gene_10	NC_000962.3	-	11874	12312
ppiA	NC_000962.3	+	12468	13017
gene_12	NC_000962.3	-	13133	13559
gene_13	NC_000962.3	-	13714	13996
gene_14	NC_000962.3	+	14089	14878
trpG	NC_000962.3	+	14914	15613
pknB	NC_000962.3	-	15590	17471
pknA	NC_000962.3	-	17467	18763
pbpA	NC_000962.3	-	18759	20235
rodA	NC_000962.3	-	20231	21641
pstP	NC_000962.3	-	21637	23182
fhaB	NC_000962.3	-	23270	23738
fhaA	NC_000962.3	-	23861	25445
leuT	NC_000962.3	+	25644	25727
gene_24	NC_000962.3	-	25913	26882
whiB5	NC_000962.3	-	27023	27443
gene_26	NC_000962.3	+	27595	28366
gene_27	NC_000962.3	+	28362	29208
gene_28	NC_000962.3	+	29245	29608
gene_29	NC_000962.3	+	29722	31069
gene_30	NC_000962.3	+	31189	31507
gene_31	NC_000962.3	+	31514	31820
gene_32	NC_000962.3	+	32057	33155
gene_33	NC_000962.3	+	33224	33554
bioF2	NC_000962.3	+	34295	36611
acpA	NC_000962.3	+	36607	36871
gene_36	NC_000962.3	+	36867	37263
fadD34	NC_000962.3	+	37259	38948
gene_38	NC_000962.3	-	39056	39830
gene_39	NC_000962.3	-	39877	41203
gene_40	NC_000962.3	+	41304	41913
gene_41	NC_000962.3	-	42004	42352
mtc28	NC_000962.3	-	42433	43366
leuS	NC_000962.3	+	43562	46472
gene_44	NC_000962.3	-	46581	47208
gene_45	NC_000962.3	-	47366	48101
gene_46	NC_000962.3	-	48233	49028
gene_47	NC_000962.3	-	49043	49940
ino1	NC_000962.3	-	50021	51125
gene_49	NC_000962.3	-	51185	51728
gene_50	NC_000962.3	-	51828	52698
gene_51	NC_000962.3	+	52831	53245
ponA1	NC_000962.3	+	53663	55700
gene_53	NC_000962.3	+	55696	57379
gene_54	NC_000962.3	+	57410	57974
rpsF	NC_000962.3	+	58192	58483
ssb	NC_000962.3	+	58586	59081
rpsR1	NC_000962.3	+	59122	59377
rplI	NC_000962.3	+	59409	59868
gene_59	NC_000962.3	+	59896	60418
